번호,제목,사건번호,선고일자,참조조문,조문번호,판시사항
982,도로교통법위반,91고단5797,1992. 1. 30.,도로교통법,"제2조, 제41조","음주상태로 건물에 부설된 주차장 내에서 차의 주차위치를 옮기기 위하여 한 운전은 도로교통법 소정의 ""주취중 운전""이라고 볼 수 없다고 한 사례"
983,도로교통법위반(음주운전),2005도7034,2006. 11. 23.,도로교통법,"제41조, 제44조, 제107조의2, 제150조","[1] 피측정자가 물로 입 안을 헹구지 아니한 상태에서 호흡측정기로 측정한 혈중알코올 농도 수치의 신빙성
[2] 물로 입 안을 헹굴 기회를 달라는 피고인의 요구를 무시한 채 호흡측정기로 측정한 혈중알코올 농도 수치가 0.05%로 나타난 사안에서, 피고인이 당시 혈중알코올 농도 0.05% 이상의 술에 취한 상태에서 운전하였다고 단정할 수 없다고 한 사례"
984,도로교통법위반(음주운전),2002도6710,2004. 6. 25.,도로교통법,제2조,"[1]           도로교통법 제2조 제1호에 정한 도로의 개념인 '일반교통에 사용되는 모든 곳'의 의미        
[2] 아파트 단지 내 통행로가 그 관리 및 이용상황에 비추어 도로교통법상의 도로에 해당한다고 한 사례"
985,교통사고처리특례법위반,2004도5848,2005. 7. 28.,도로교통법,"제4조, 제5조, 제16조, 제113조","[1] 녹색, 황색, 적색의 삼색등 신호기가 설치되어 있고 비보호좌회전 표시나 유턴표시가 없는 교차로에서 차마의 좌회전 또는 유턴이 허용되는지 여부(소극)
[2] 횡형삼색등 신호기가 설치되어 있고 비보호좌회전 표지가 없는 교차로에서 녹색등화시 유턴하여 진행하였다면 반대 진행방향 차량뿐만 아니라 같은 진행방향의 후방차량에 대하여도 신호위반의 책임을 진다고 한 원심의 판단을 수긍한 사례"
987,도로교통법위반,94도2691,1995. 1. 24.,도로교통법,제50조,"도로교통법 제50조 제1항의 취지 및 이에 따라 사고운전자가 하여야 할 필요한 조치의 정도나. 교통사고 운전자가 사고 직후 바로 자신의 차량으로 피해자를 자신의 집으로 데리고 갔고, 운전자의 부모들이 즉시 피해자를 입원케 하였다면, 운전자로서 필요한 조치를 하지 아니한 경우에 해당하지 않는다고 한 사례"
988,도로교통법위반(음주운전),2008도2170,2008. 5. 8.,도로교통법,제44조,"[1]           도로교통법 제44조 제2항에서 말하는 ‘측정'의 의미(=호흡측정기에 의한 측정) 및 운전자가 혈액채취 방법에 의한 혈중알콜농도 측정을 요구할 수 있는 시한        
[2] 음주운전자가 경찰공무원이 실시한 호흡측정기에 의한 혈중알콜농도 측정 결과에 불복한 사안에서, 호흡측정기에 의한 1차 측정 후 상당한 시간 내에 명시적으로 재측정 또는 혈액채취의 방법에 의한 측정을 요구하지 않았던 점 등에 기하여 1차 호흡측정기에 의한 결과를 근거로 음주운전 사실을 인정한 사례"
991,도로교통법위반(음주운전),2009노2039,2009. 9. 22.,도로교통법,제44조,"[1] 수사기관이 적법절차를 위반하여 피고인의 혈액을 채취한 경우, 그에 기초한 감정의뢰회보 등이 위법수집증거로서 증거능력이 배제되는지 여부(적극)
[2] 위드마크(Widmark) 공식을 사용하여 혈중알콜농도를 계산하는 경우, 그 공식 적용의 전제가 되는 사실에 대한 증명의 정도(=엄격한 증명)"
992,도로교통법위반,97노2367,1998. 6. 18.,도로교통법,제2조,일반인들의 차량출입이 통제되지 아니하는 아파트단지 내의 주차구획선 외측 통로 부분이 도로교통법 제2조 제1호 소정의 '도로'에 해당한다고 본 사례
993,자동차운전면허취소처분취소청구사건,84구2119,1984. 11. 1.,도로교통법,제86조,범칙금통고처분의 취소를 구할 소의 이익유무
994,도로교통법위반,90고단398,1990. 12. 10.,도로교통법,제41조,불대를 꽂아 사용하는 음주감지기에 의한 음주측정방법으로서 매우 부적절한 방법이라고 본 사례
995,도로교통법위반,94고단3059,1995. 3. 29.,도로교통법,"제2조, 제41조, 제107조의2",술에 취한 상태로 아파트 구내 주차장에서 승용차를 운전한 것이 도로교통법상의 음주운전죄에 해당하는지 여부
996,도로교통법위반,71도1115,1971. 8. 31.,도로교통법,제35조, 도로교통법 제35조에 정한 불량차량운전금지 규정에서의 이른바 차주라 함은 그 차량의 법률상 소유자를 의미하는 것이다.
998,구상금,2018다226015,2019. 6. 27.,도로교통법,"제64조, 제66조","[1] 고속도로에서 선행차량이 사고 등의 사유로 안전조치를 취하지 아니한 채 주행차로에 정지해 있는 사이에 뒤따라온 자동차에 의하여 추돌사고가 발생한 경우, 안전조치 미이행 또는 선행사고의 발생 등으로 인한 정지와 후행 추돌사고 및 그로 인하여 연쇄적으로 발생된 사고들 사이에 인과관계가 인정되는지 여부(원칙적 적극) 및 이때 선행차량 운전자의 과실이 후행사고들로 인한 손해배상책임에 관한 분담범위를 정할 때에 참작되어야 하는지 여부(적극)
[2] 공동불법행위의 성립에 공동불법행위자 상호 간 의사의 공통이나 공동의 인식이 필요한지 여부(소극)
[3] 甲이 차량1을 운전하여 고속도로를 진행하던 중 안개가 짙게 끼어 전방의 시야가 확보되지 않은 탓에 앞에서 서행하던 트럭을 추돌한 후 안전조치를 취하지 않은 채 2차로에 정차해 있는 사이에 뒤따라오던 승합차가 차량1을 추돌하였고, 승합차를 뒤따라오던 승용차는 사고를 미리 목격하고 2차로에 정차하였으나 바로 뒤이어 乙이 운전한 차량2가 승용차를 추돌한 후 안전조치를 취하지 않은 채 주행차로에 정지해 있었고, 그 뒤로 丙이 운전한 차량3 등이 2차로에서 연쇄적으로 추돌사고를 일으켰으며, 차량3의 동승자인 丁은 또 다른 연쇄추돌로 인한 충격을 피하기 위하여 차량에서 바깥으로 나왔다가 3차로 쪽에서 연쇄추돌로 발생한 화재를 피하여 반대편인 1차로 쪽으로 피해 있었는데, 戊가 운전하는 차량4가 丁을 충격하여 상해를 입힌 사안에서, 甲, 乙, 丙은 공동불법행위자로서 戊가 운전하는 차량4가 丁을 충격하여 발생한 손해에 대하여 연대배상책임을 부담한다고 한 사례"
1005,도로교통법위반,90도2462,1991. 2. 26.,도로교통법,제50조,"가.           도로교통법 제50조 제1항의 취지 및 교통사고를 일으킨 운전자가 위 조항에 따라 하여야 할 필요한 조치의 정도        
나. 정차 중인 승용차를 들이받아 약간 손괴한 자가 사고 직후 피해차량의 주인을 만날 수 없어 주차장 관리인에게 자신의 전화번호와 운전하던 차량번호를 적어주고 현장을 떠난 경우 운전자로서           도로교통법 제50조에서 규정한 필요한 조치를 하지 아니한 경우에 해당하는지 여부(소극)        
다. 교통사고 후 조치불이행죄의 공소사실에 대하여 공소장 변경 없이 교통사고 미신고의 죄로 처벌할 수 있는지 여부(소극)"
1006,도로교통법위반,92노5549,1992. 12. 8.,도로교통법,"제41조, 제107조의2","피고인이 주취상태에서 승용차를 운전하게 된 경위, 운전거리와 그 시간 및 경찰공무원이 피고인을 연행하여 음주측정을 요구하게 된 경위 등에 비추어 피고인에게 경찰공무원의 음주측정요구에 응할 의무가 없다고 본 사례"
1008,도로교통법위반(무면허운전),2007도9220,2008. 1. 31.,도로교통법,"제40조, 제109조","특정범죄 가중처벌 등에 관한 법률 위반(도주차량)으로 운전면허취소처분을 받은 자가 자동차를 운전하였다고 하더라도 그 후 피의사실에 대하여 무혐의 처분을 받고 이를 근거로 행정청이 운전면허 취소처분을 철회하였다면, 위 운전행위는 무면허운전에 해당하지 않는다고 한 사례"
1014,특정범죄가중처벌등에관한법률위반(도주차량),97도3079,1998. 3. 27.,도로교통법,제50조,"[1] 공소장변경 절차를 거치지 아니하고 공소사실과 달리 사실인정을 하는 것이 불고불리원칙에 위반되지 않는 경우
[2] 특정범죄가중처벌등에관한법률 제5조의3 제1항의 '도주한 때'의 의미"
1019,손해배상(자),97다6308,1998. 3. 27.,도로교통법,"제74조, 제78조","[1] 자동차종합보험의 무면허운전 면책약관의 적용 범위
[2] 운전면허가 적법한 절차에 따라 정지·취소된 경우, 그 사실을 모르고 한 운전행위에도 무면허운전 면책약관이 적용되는지 여부(적극)
[3] 적성검사 미필에 따른 운전면허취소처분 후 그에 대한 적법한 통지 또는 공고가 있었으나 운전자가 그 사실을 모른 경우, 무면허운전 면책약관이 적용된다고 본 사례"
1022,공무집행방해,2003도8336,2004. 7. 9.,도로교통법,"제118조, 제120조",적법성이 결여된 직무행위를 하는 교통경찰관에 대항하여 폭행을 가한 경우 공무집행방해죄에 해당한다고 볼 수 없다고 한 사례
1026,도로교통법위반,93도828,1993. 6. 22.,도로교통법,제2조,주택가 막다른 골목길에서 주차시켜 놓았던 차량을 다시 일렬주차하기 위하여 약 1m 정도 전·후진한 행위가 도로교통법상 운전에 해당하는지 여부(적극)
1028,자동차운전면허취소처분취소,92누18047,1993. 7. 13.,도로교통법,제2조,빌딩 주차장이 도로교통법상 도로인지 여부(소극)
1030,버스전용차선행정처분일부처분취소,97구35056,1998. 1. 14.,도로교통법,"제13조의2, 제117조",버스 전용차로를 통행한 개인택시에 대한 자동차운수사업법상의 과징금이 도로교통법상의 범칙금을 초과할 수 있는지 여부(적극)
1031,도로교통법위반(음주운전),2009도1856,2010. 6. 24.,도로교통법,"제44조, 제148조의2, 제150조","[1] 피측정자가 물로 입 안을 헹구지 아니한 상태에서 호흡측정기로 측정한 혈중알코올 농도 수치의 신빙성
[2] 음주종료 후 4시간 정도 지난 시점에서 물로 입 안을 헹구지 아니한 채 호흡측정기로 측정한 혈중알코올 농도 수치가 0.05%로 나타난 사안에서, 위 증거만으로는 피고인이 혈중알코올 농도 0.05% 이상의 술에 취한 상태에서 자동차를 운전하였다고 인정하기 부족하다고 한 사례"
1037,구상금,2010다28390,2012. 8. 17.,도로교통법,"제64조, 제66조","
[1] 선행차량이 사고 등의 사유로 고속도로에서 안전조치를 취하지 아니한 채 주행차로에 정지해 있는 사이에 뒤따라온 자동차에 의하여 연쇄추돌사고가 발생한 경우, 안전조치 미이행 또는 선행사고 발생 등으로 인한 정지와 후행 추돌사고 및 그로 인한 연쇄적인 사고들 사이에 인과관계가 인정되는지 여부(원칙적 적극) 및 이때 선행차량 운전자의 과실이 후행사고들로 인한 손해배상책임에 관한 분담범위를 정할 때에 참작되어야 하는지 여부(적극)


[2] 공동불법행위의 성립에 공동불법행위자 상호 간 의사의 공통이나 공동의 인식이 필요한지 여부(소극)


[3] 甲이 고속도로에서 차량을 운전하던 중 앞에서 서행하던 차량을 추돌하고 안전조치를 취하지 않은 채 주행차로에 정차해 있는 사이에 뒤따라온 차량들에 의해 추돌사고가 연쇄적으로 발생하였는데, 그 중 乙이 운전하던 차량이 다른 사고차량을 추돌하면서 앞선 사고차량에서 흘러나온 휘발유 등에 불이 붙어 화재가 발생한 사안에서, 甲이 乙의 후행사고 및 화재에 대하여 공동불법행위자로서 책임을 진다고 보기 어렵다고 한 원심판결에 상당인과관계와 공동불법행위의 성립에 관한 법리오해의 위법이 있다고 한 사례"
1039,도로교통법위반,89도2014,1990. 3. 9.,도로교통법,"제41조, 제109조",도로교통법 제109조 제3호 소정의 음주측정불응죄의 행위주체
1041,도로교통법위반,92도67,1992. 3. 27.,도로교통법,"제40조, 제78조, 제109조",‘운전면호 취소처분’이 적법하게 통지 또는 공고되지 아니하여 무효이므로 그 기간 동안의 자동차운전이 구 도로교통법상 ‘무면허운전’에 해당하지 않는다고 한 원심판단을 수긍한 사례
1044,교통사고처리특례법위반,95도3093,1996. 5. 31.,도로교통법,"제4조, 제5조","[1] 비보호좌회전 표시나 유턴허용 표시가 없는 신호기가 설치된 교차로에서 적색 등화시에 좌회전 또는 유턴한 행위가 신호위반에 해당하는지 여부(적극)
[2] 좌회전 진행방향을 표시하는 노면표지가 설치되어 있다는 사정만으로 적색 등화시에 좌회전하거나 유턴한 행위가 정당화되는지 여부(소극)"
1057,"교통사고처리특례법위반,도로교통법위반",87도2070,1989. 5. 9.,도로교통법,"제68조, 제69조",운전면허의 효력발생시기와 그 판단기준
1059,특정범죄가중처벌등에관한법률위반(도주차량)·도로교통법위반,2002도2001,2002. 6. 28.,도로교통법,"제50조, 제106조","[1] 사고 운전자가 피해자를 구호하는 등           도로교통법 제50조 제1항에 의한 조치를 취할 필요가 있었다고 인정되지 아니하는 경우,           특정범죄가중처벌등에관한법률 제5조의3 제1항 위반죄로 처벌할 수 있는지 여부(소극)        
[2]           도로교통법 제50조 제1항의 취지 및 사고운전자가 취하여야 할 조치의 정도        
[3] 차량의 손괴의 형태나 정도, 사고 이후의 피해자의 태도 등에 비추어 사고운전자가 피해자를 구호하거나           도로교통법 제50조 제1항 소정의 조치를 취할 의무가 있다고 보기 어렵다고 한 사례"
1061,도로교통법위반(음주운전),2013도10436,2013. 11. 28.,도로교통법,"제44조, 제148조의2","운전 시점과 혈중알코올농도 측정 시점 사이에 시간 간격이 있고 그때가 혈중알코올농도의 상승기인 경우, 운전 당시에도 처벌기준치 이상이었다고 볼 수 있는지 판단하는 기준"
1076,과징금부과처분무효확인,97누3767,2000. 2. 8.,도로교통법,제13조의2,"[1] 구 자동차운수사업법상 과징금의 부과·징수 권한을 위임받은 서울특별시장이 그 권한을 구청장에게 재위임할 수 있는지 여부(적극)
[2] 전세버스가 버스전용차로를 위반한 경우, 그 전세버스운송사업자에게 과징금을 부과할 수 있는지 여부(적극)"
1080,"특정범죄가중처벌등에관한법률위반,도로교통법위반",94도460,1994. 6. 14.,도로교통법,제50조,"경미한 교통사고로서 사고현장에서 구호조치 등을 취하는 것이 교통에 방해가 되는 경우 피해자를 한적한 곳에 유도할 의사로 깜빡이등을 켜고 시속 10km의 저속으로 운전하여 갔다면           특정범죄가중처벌등에관한법률 제5조의3 제1호 소정의 ""도주한 때""에 해당하지 않는다고 한 사례"
1083,도로교통법위반,92도3046,1993. 3. 12.,도로교통법,제2조,주차장으로 사용되는 여관 옆 공터가 일반공중이나 차량들이 자유로이 통행할 수 있는 통행장소가 아니라면 도로교통법상의 도로라고 할 수 없다고 한사례
1092,특정범죄가중처벌등에관한법률위반(도주차량)·도로교통법위반,2004도5227,2004. 10. 28.,도로교통법,제50조,"[1]           특정범죄가중처벌등에관한법률 제5조의3 제1항에 정하여진 '피해자를 구호하는 등           도로교통법 제50조 제1항의 규정에 의한 조치를 취하지 아니하고 도주한 때'의 의미        
[2] 피고인의 행위가 피해자를 구호하는 등의 조치를 취하지 아니하고 도주한 때에 해당하지 않는다고 한 사례"
1093,"교통사고처리특례법위반,도로교통법위반",91도1013,1991. 6. 25.,도로교통법,제50조,"가. 교통사고를 야기한 자에게           도로교통법 제50조 제2항 소정의 신고의무가 있는 경우        
나. 승용차를 운전하다가 편도 2차선 도로에서 야간이어서 교통량이 많지 않을 때 횡단보도를 건너던 피해자 2명을 치어 중상을 입히는 교통사고를 일으켰으나, 사고 직후 피해자들을 병원으로 데려간 피고인에게           도로교통법 제50조 제2항에서 규정한 신고의무가 있다고 할 수 없다고 한 사례"
1094,도로교통법위반(무면허운전),2005도6986,2006. 1. 13.,도로교통법,"제40조, 제109조","피고인이 운전을 한 것으로 특정된 장소인 아파트단지와 대학구내 통행로의 관리 및 이용 상황에 비추어 피고인이 운전한 도로가 불특정 다수의 사람이나 차량의 통행을 위하여 공개된 장소로서 일반교통에 사용되는 곳으로 볼 여지가 있음에도, 위 장소가 도로교통법상의 도로에 해당하지 않는다고 보아 무면허운전의 점에 대하여 무죄를 선고한 원심판결을 파기한 사례"
1095,도로교통법위반(음주운전),2005도3781,2005. 9. 15.,도로교통법,제2조,"[1]           도로교통법 제2조 제1호에서 도로의 개념으로 정한 '일반교통에 사용되는 모든 곳'의 의미        
[2] 지역 일대의 주차난 해소 등의 공익적 목적을 가지고 설치된 공영주차장이 불특정 다수의 사람 또는 차량의 통행을 위하여 공개된 장소로서           도로교통법 제2조 제1호에서 말하는 도로에 해당한다고 한 사례        
[3]           도로교통법 제2조 제19호에서 말하는 '운전'의 의미 및 도로에서 주차된 다른 차량의 출입의 편의를 위하여 주차시켜 놓았던 차량을 이동시켜 주기 위하여 자동차의 시동을 걸어 이동한 것이 도로교통법상의 '운전'에 해당하는지 여부(적극)"
1101,도로교통법위반,73도861,1974. 2. 12.,도로교통법,제44조,운전자가 자동차의 열쇠를 빼지 않고 끼워 둔 것이 도로교통법 44조 6호에 위배되는지 여부
1107,도로교통법위반(음주측정거부),2005도7125,2006. 1. 13.,도로교통법,"제41조, 제107조의2","[1] 운전자가 신체 이상 등의 사유로 인하여 호흡에 의한 음주측정에 응하지 못한 경우, 음주측정불응죄가 성립하는지 여부(소극)
[2] 교통사고로 상해를 입은 피고인의 골절부위와 정도에 비추어 음주측정 당시 통증으로 인하여 깊은 호흡을 하기 어려웠고 그 결과 음주측정이 제대로 되지 아니하였던 것으로 보이므로 피고인이 음주측정에 불응한 것이라고 볼 수는 없다고 한 원심의 판단을 수긍한 사례"
1111,자동차운전면허취소처분취소,2002두6330,2002. 10. 11.,도로교통법,"제41조, 제78조","운전자가 음주측정기에 의한 측정 결과에 불복하여 혈액을 채취하였으나 채취한 혈액이 분실, 오염 등의 사유로 감정이 불가능하게 된 경우, 음주측정기에 의한 측정 결과만으로 음주운전 사실 및 그 주취 정도를 증명할 수 있는지 여부(소극)"
1117,특정범죄가중처벌등에관한법률위반(도주차량)·도로교통법위반,98도297,1998. 4. 10.,도로교통법,"제13조, 제44조",자기 차로를 따라 진행하는 운전자에게 업무상의 주의의무 위반의 과실이 인정되기 위한 요건
1121,특정범죄가중처벌등에관한법률위반(도주차량)·도로교통법위반,96도1415,1996. 8. 20.,도로교통법,제50조,"[1]           특정범죄가중처벌등에관한법률 제5조의3 제1항 소정의 '도주한 때'의 의미        
[2] 피해자의 상해 여부를 확인하지도 않은 채 자동차등록원부만을 교부하고 임의로 사고현장을 이탈한 사고운전자에게 도주의 의사를 인정한 원심판결을 수긍한 사례"
1127,손해배상,80다2569,1981. 7. 28.,도로교통법,"제26조, 제32조, 제43조",곡각지점에서 중앙선을 침범하여 오던 차량과 충돌한 상대방 차량 운전자의 과실
1129,도로교통법위반,88도1738,1989. 3. 28.,도로교통법시행규칙,제53조,운전면허취소의 통지가 없는 동안의 차량운전이 무면허운전인지 여부(소극)
1132,교통사고처리특례법위반·도로교통법위반,83도1288,1983. 8. 23.,도로교통법,제21조,"가. 노폭이 좁은 도로에서 대로인 국도로 연결되는 교차로상에서의 우선통행권과 과실
나. 상상적 경합관계에 있는 공소사실중 일부에 대하여 공소기각해야 할 경우의 주문형식
다. 포괄적 일죄중 일부 사실에 대해 공소시효가 완성된 경우의 주문형식"
1141,도로교통법위반,94도1562,1994. 9. 27.,도로교통법,"제41조, 제107조의2",피고인이 음주측정을 요구받을 당시는 잠시 음주운전을 중단한 상태에 불과하였다고 보아 경찰공무원의 음주측정 요구행위가           도로교통법 제41조 제2항 소정의 필요성을 가졌다고 판단한 원심판결을 수긍한 사례
1145,특정범죄가중처벌등에관한법률위반(도주차량),96도2407,1996. 12. 6.,도로교통법,제50조,"[1]           특정범죄가중처벌등에관한법률 제5조의3 제1항 소정의 '도주한 때'의 의미        
[2] 가해자가 상해를 입은 피해자를 보고도 차에서 내리지도 않고 그대로 가 버렸다가 약 20분 후 구호를 위하여 제3자와 함께 현장으로 되돌아 온 경우, 도주의 범의를 인정한 사례"
1150,손해배상(기),97다10574,1997. 5. 30.,도로교통법,제30조,야간에 편도 1차선 도로에 위험표지판이나 미등 등을 설치하지 아니한 채 주차시켜 놓은 트랙터를 오토바이가 추돌한 사고에 대하여 트랙터 소유자의 손해배상책임을 인정한 사례
1160,특정범죄가중처벌등에관한법률위반(도주차량)·도로교통법위반,2002도2001,2002. 6. 28.,도로교통법,"제50조, 제106조","[1] 사고 운전자가 피해자를 구호하는 등 도로교통법 제50조 제1항에 의한 조치를 취할 필요가 있었다고 인정되지 아니하는 경우, 특정범죄가중처벌등에관한법률 제5조의3 제1항 위반죄로 처벌할 수 있는지 여부(소극)
[2] 도로교통법 제50조 제1항의 취지 및 사고운전자가 취하여야 할 조치의 정도
[3] 차량의 손괴의 형태나 정도, 사고 이후의 피해자의 태도 등에 비추어 사고운전자가 피해자를 구호하거나 도로교통법 제50조 제1항 소정의 조치를 취할 의무가 있다고 보기 어렵다고 한 사례"
1161,특정범죄가중처벌등에관한법률위반(도주차량)·도로교통법위반,2008도1339,2008. 7. 10.,도로교통법,제54조,"[1]           특정범죄가중처벌 등에 관한 법률 제5조의3의 치상 후 도주죄에서 ‘구호조치 필요성’ 유무의 판단 방법        
[2] 교통사고 피해자가 2주간의 치료를 요하는 경추부 염좌 등의 경미한 상해를 입었다는 사정만으로 사고 당시 피해자를 구호할 필요가 없었다고 단정하기는 곤란하다고 보아,           특정범죄가중처벌 등에 관한 법률 제5조의3 ‘치상 후 도주죄’의 성립을 인정한 사례"
1162,"특정범죄가중처벌 등에 관한 법률 위반(도주차량,인정된 죄명:도로교통법 위반)",90도1283,1990. 12. 7.,도로교통법,제2조,"가. 배기량 50cc 미만의 오토바이가                     도로교통법 제2조 소정의 ""원동기장치 자전거""에 해당하는지 여부(소극)                
나.                     특정범죄가중처벌등에관한법률 제5조의3 제1항 소정의 죄로 공소제기되었으나 위 범죄는 인정되지 아니하고 업무상과실치상죄가 인정되는 경우 법원이 공소장변경절차 없이도 그 죄로 처벌하여야 하는지 여부(적극)"
1163,확정,2003가합21334,2003. 12. 23.,도로교통법,제57조,"과적으로 적발된 화물차량의 운전자가 재측정을 위하여 폐쇄도로를 후진하던 중 후방주시 및 안전운전의무를 위반하여 피해자를 역과하여 상해를 입힌 경우, 고속도로를 관리하는 도로공사에도 손해배상책임이 있다고 한 사례"
1164,"절도(인정된죄명:절도미수),도로교통법위반",94도1522,1994. 9. 9.,도로교통법,제2조,"절취 목적으로 내리막길에 주차되어 있는 자동차 안에 들어가 핸드브레이크를 풀자 자동차가 10미터 정도 굴러가다 멈춘 경우, 절도의 기수 여부와 도로교통법상 운전의 해당 여부"
1168,보험금등,92다38928,1993. 3. 9.,도로교통법,제40조,"가. 자가운전자동차종합보험약관 제10조 제1항 제6호 소정의 무면허운전면책 규정의 효력 유무(한정적극)
나. 운전면허정지기간 중의 운전이 위 면책규정상의 무면허운전에 해당되는지 여부(적극)
다. 보험계약을 체결하면서 보통보험약관이 계약내용에 포함된 경우 보험계약자가 무면허운전면책약관의 내용을 알지 못하였다면 약관의 구속력을 배제할 수 있는지 여부(소극)"
1173,특정범죄가중처벌등에관한법률위반(도주차량)·도로교통법위반,97도1024,1997. 7. 11.,도로교통법,제50조,"교통사고 운전자가 사고 현장에서 다친 곳이 없다고 말한 피해자와 합의 중 경찰차의 사이렌 소리가 들리자 피해자에게 자신의 운전면허증을 건네주고 가버린 경우, 도주에 해당하지 않는다고 본 사례"
1174,도로교통법위반,80도2646,1982. 6. 8.,도로교통법,"제38조, 제57조, 제65조",도로교통법 제57조 제1호에 위반하여 교부된 운전면허의 효력
1179,도로교통법위반,87도1113,1987. 7. 21.,도로교통법,제50조,도로교통법 제50조 제2항의 신고대상인 교통사교의 의미
1189,교통사고처리특례법위반·도로교통법위반·업무상과실일반교통방해,95도2125,1997. 1. 24.,도로교통법시행규칙,제3조,차높이 제한표지가 설치된 지점을 통과하는 운전자의 주의의무
1192,특정범죄가중처벌등에관한법률위반(도주치상)·도로교통법위반(사고후미조치),2023노1354,2024. 8. 22.,도로교통법,"제54조, 제148조","피고인이 차량을 운전하던 중 유턴 가능 구역이 아닌 곳에서 유턴을 하였는데, 甲이 피고인 차량 진행방향 전방의 횡단보도를 우측에서 좌측으로 오토바이를 운전하여 건너던 중 횡단보도가 끝날 무렵 좌회전을 하여 맞은편 도로의 3차로에 곧바로 진입한 후 약 40m를 달리다가, 유턴을 하면서 甲 앞으로 다가오는 피고인의 차량을 피하고자 급제동하면서 중심을 잃고 넘어졌으나, 피고인이 곧 정차하여 甲을 구호하는 등의 필요한 조치를 취하지 아니하고 그대로 도주하였다는 내용으로 기소된 사안에서, 피고인의 위와 같은 유턴 행위와 사고 사이에 상당인과관계가 있다고 본 원심판단을 수긍한 사례"
1205,특정범죄가중처벌등에관한법률위반(도주차량)·도로교통법위반,2000도1038,2000. 5. 12.,도로교통법,제50조,"[1] 특정범죄가중처벌등에관한법률 제5조의3 제1항 소정의 '도주'의 의미
[2] 다방종업원인 운전자가 사고 후 즉시 피해자를 병원으로 후송한 다음 다방으로 돌아와서 주인에게 사고 사실을 알리고 파출소에 교통사고 신고를 한 후 자진 출석하여 조사를 받았고 운전자의 일행이 운전자를 대신하여 그들의 인적사항을 피해자에게 알린 경우, 도주의 의사를 인정하기 어렵다고 한 사례"
1214,도로교통법위반,92도1330,1992. 10. 9.,도로교통법,제2조,"주차장으로 사용되는 주점 옆 공터가 일반공중이나 차량들이 자유로이 통행할 수 있는 통행장소가 아니라면, 도로법이나 유료도로법 소정의 도로에 해당한다고 할 수 없고 일반교통에 사용되는 곳이라고 보기도 어려워 도로교통법상의 도로라고 할 수 없다고 한 사례"
1226,교통사고처리특례법위반·도로교통법위반,85도784,1985. 6. 25.,도로교통법,제33조,도로의 2차선 전방을 주행하다가 돌연히 1차선으로 진입하는 차량을 피하기 위하여 좌측 중앙선을 넘어선 1차선 주행차량운전자의 과실유무(소극)
1227,자동차운전면허정지처분취소,87누944,1988. 5. 24.,도로교통법시행규칙,제53조,도로교통법시행규칙 제53조 제1항에 의하여 장래 불이익을 받게 될 운전면허자에게 이를 근거로 면허정지기간이 경과된 자동차운전면허정지처분의 취소를 구할 법률상의 이익이 있는지 여부
1228,도로교통법위반,92도3045,1993. 3. 23.,도로교통법,"제40조, 제109조",운전면허취소처분의 적법한 공고가 있었지만 운전면허취소 사실을 알지 못하는 경우 무면허운전의 고의가 있다고 할 수 있는지 여부(소극)
1231,집회및시위에관한법률위반·도로교통법위반,2009도840,2009. 7. 23.,도로교통법,제68조,"[1] 구 집회 및 시위에 관한 법률에 정한 옥외집회 또는 시위의 신고 제도의 취지
[2] 집회나 시위에서 소음이나 통행의 불편을 발생시키는 행위가 정당행위에 해당하는 경우
[3] 시위의 방법으로 행한 ‘삼보일배 행진’이 사회상규에 위배되지 않는 정당행위에 해당한다고 한 사례"
1233,특정범죄가중처벌등에관한법률위반(도주치상)·도로교통법위반(사고후미조치),2023노1354,2024. 8. 22.,도로교통법,"제54조, 제148조","
 피고인이 차량을 운전하던 중 유턴 가능 구역이 아닌 곳에서 유턴을 하였는데, 甲이 피고인 차량 진행방향 전방의 횡단보도를 우측에서 좌측으로 오토바이를 운전하여 건너던 중 횡단보도가 끝날 무렵 좌회전을 하여 맞은편 도로의 3차로에 곧바로 진입한 후 약 40m를 달리다가, 유턴을 하면서 甲 앞으로 다가오는 피고인의 차량을 피하고자 급제동하면서 중심을 잃고 넘어졌으나, 피고인이 곧 정차하여 甲을 구호하는 등의 필요한 조치를 취하지 아니하고 그대로 도주하였다는 내용으로 기소된 사안에서, 피고인의 위와 같은 유턴 행위와 사고 사이에 상당인과관계가 있다고 본 원심판단을 수긍한 사례"
1235,도로교통법위반(음주운전),2006도5683,2006. 10. 26.,도로교통법,"제41조, 제44조, 제107조의2, 제150조",음주시각과 혈액채취에 의한 혈중알코올농도를 측정한 시각과의 시간적 간격이 87분에 불과한 점 등을 고려할 때 처벌기준치를 겨우 0.003% 넘는 0.053%의 호흡측정결과 수치만으로는 합리적 의심을 넘는 충분한 정도로 음주운전의 증명이 있다고 볼 수 없다고 한 사례
1238,도로교통법위반(음주측정거부),2005노4020,2006. 4. 11.,도로교통법,"제41조, 제107조의2","피고인이 음주측정을 요구받을 당시 음주운전죄로 처벌되는 음주수치인 혈중알코올농도 0.05% 이상의 음주상태에 있다고 인정할 만한 상당한 이유가 있었다고 보기 어렵다는 이유로, 피고인이 음주측정을 요구받고서도 이를 불응한 행위가 도로교통법상 음주측정불응죄에 해당한다고 볼 수 없다고 한 사례"
